"","SiteID","dist_disturb","year","d2nn","occ","X","Y","Lat","Long","ndvi_mean","ndvi_max","ndvi_sd","sp"
"1","15",1415.63513619259,"y20",3540.75879120554,1,516414.699108082,7960542.48585113,71.7449,-80.5305,0.284016854483588,0.763162732124329,0.0781305281984368,"pefa"
"2","17",4252.8824993044,"y20",3540.75879120554,1,517385.877147697,7968246.75226425,71.8139,-80.5009,0.222228701859162,0.999138653278351,0.094093092958025,"pefa"
"3","20",1774.37079447097,"y20",1831.56435711289,1,519659.060827644,7953799.53008028,71.6842,-80.4395,0.263219822455257,0.69714891910553,0.085211569999025,"pefa"
"4","22",1205.71627749077,"y20",1384.21671532352,1,521254.657058009,7946475.37075439,71.6184,-80.3961,0.199493504345444,0.623632371425629,0.0749307202680916,"pefa"
"5","24",1165.45445547927,"y20",1123.8397659037,1,523355.910492486,7939414.3686509,71.5549,-80.3386,0.165039120125468,0.626659452915192,0.0556065611919234,"pefa"
"6","28",1421.97401443854,"y20",3472.90603494348,1,525969.028363951,7930699.45062354,71.4765,-80.2676,0.188184169417415,0.572415947914124,0.0645790022973598,"pefa"
"7","30",5533.82647213483,"y20",922.628896061734,1,526365.982212896,7956884.23367928,71.7112,-80.2472,0.291398744058737,0.672394037246704,0.0928451524718388,"pefa"
"8","40",2924.51641931658,"y20",277.451922956174,1,530180.926156892,7920905.02612298,71.3882,-80.1527,0.294734529463937,0.63274747133255,0.0825301080755684,"pefa"
"9","59",15773.846901515,"y20",1374.02843848122,1,543408.277028949,7902255.36815841,71.219,-79.7919,0.328626094101353,0.683902442455292,0.0777485986028937,"pefa"
"10","62",8224.82084984336,"y20",2566.21149778769,1,544129.72346987,7930249.10872685,71.4698,-79.7558,0.334827579407078,0.657198846340179,0.0769240122859202,"pefa"
"11","71",18129.6867908128,"y20",72.3877923420692,1,548020.055395408,7897510.52893537,71.1756,-79.6665,0.334536370057662,0.697137117385864,0.0905824853978582,"pefa"
"12","80",9011.83372902867,"y20",1061.47947937085,1,550773.760490452,7927919.37774923,71.4476,-79.5701,0.325017435807023,0.997931718826294,0.102118335612012,"pefa"
"13","81",3954.13949296929,"y20",1061.47947937085,1,550773.853132637,7922497.101895,71.399,-79.5737,0.342746189295563,0.800917565822601,0.0823659909759647,"pefa"
"14","82",896.794483341563,"y20",1879.77164348743,1,551369.710448753,7915114.19225503,71.3327,-79.5619,0.335129678097732,0.950329422950745,0.0978347272659534,"pefa"
"15","86",1652.41784664153,"y20",1054.18101229387,1,555461.136539905,7916520.80668565,71.3444,-79.4464,0.317612677948064,0.736898422241211,0.10460968307344,"pefa"
"16","94",4224.50628777432,"y20",1351.37009398018,1,557805.628537475,7919394.11025613,71.3696,-79.3786,0.335584812981481,0.782497882843018,0.0962283320050491,"pefa"
"17","98",11584.3446013304,"y20",790.969672407767,1,558439.644904341,7902049.5826199,71.214,-79.3739,0.324895739570872,0.684421539306641,0.0849572843828429,"pefa"
"18","100",586.605970353164,"y20",2137.55670512309,1,558994.33695269,7915052.37072732,71.3304,-79.3486,0.28718262190243,0.782497882843018,0.106613210815472,"pefa"
