"","SiteID","Lat","Long","ndvi_mean","ndvi_max","ndvi_sd"
"1",2,71.8531,-80.9321,0.178162395015677,0.999881565570831,0.101784620332167
"2",3,71.8544,-80.9028,0.195092531429747,0.999881565570831,0.106786142676642
"3",5,71.8412,-80.8536,0.191650191059443,0.99973738193512,0.0925116227148215
"4",6,71.8368,-80.8319,0.199368943510171,0.676241636276245,0.0942659982162946
"5",7,71.8033,-80.7595,0.200912396143129,0.628306448459625,0.0875676550319817
"6",8,71.8702,-80.7133,0.253789771344301,0.676241636276245,0.0921755200547646
"7",9,71.8701,-80.7112,0.252718510198934,0.676241636276245,0.0923084147554719
"8",10,71.8634,-80.696,0.25647792199541,0.676241636276245,0.0944776642288842
"9",14,71.7708,-80.5799,0.26729921472386,0.658522546291351,0.0881934211348433
"10",15,71.7449,-80.5305,0.284016854483588,0.763162732124329,0.0781305281984368
"11",16,71.8196,-80.5177,0.227866198463175,0.999138653278351,0.0968885317722274
"12",17,71.8139,-80.5009,0.222228701859162,0.999138653278351,0.094093092958025
"13",18,71.7948,-80.4523,0.235421490749355,0.999138653278351,0.100056743900847
"14",19,71.779,-80.4441,0.251407073889064,0.688957989215851,0.0974260021759269
"15",20,71.6842,-80.4395,0.263219822455257,0.69714891910553,0.085211569999025
"16",21,71.7585,-80.3982,0.267670140745239,0.73180741071701,0.0994349615558517
"17",22,71.6184,-80.3961,0.199493504345444,0.623632371425629,0.0749307202680916
"18",23,71.7359,-80.3569,0.287657847661108,0.73180741071701,0.0984823938846665
"19",24,71.5549,-80.3386,0.165039120125468,0.626659452915192,0.0556065611919234
"20",25,71.7369,-80.3271,0.287859279620759,0.73180741071701,0.1009355167866
"21",26,71.5088,-80.3042,0.162631418214652,0.594113111495972,0.0528889412569864
"22",27,71.7226,-80.2873,0.289634057633988,0.70463901758194,0.0972187710705169
"23",28,71.4765,-80.2676,0.188184169417415,0.572415947914124,0.0645790022973598
"24",30,71.7112,-80.2472,0.291398744058737,0.672394037246704,0.0928451524718388
"25",32,71.391,-80.2381,0.291883911668721,0.62990528345108,0.0842917839159587
"26",33,71.4522,-80.2294,0.236783164964461,0.626979112625122,0.079175760533905
"27",34,71.7048,-80.2042,0.289878668260251,0.65215277671814,0.0897670968796497
"28",35,71.7038,-80.1955,0.288947216421778,0.65215277671814,0.0891297537977067
"29",40,71.3882,-80.1527,0.294734529463937,0.63274747133255,0.0825301080755684
"30",41,71.3875,-80.1483,0.294937406964722,0.63274747133255,0.0822997528663239
"31",43,71.2862,-80.0018,0.36947185938895,0.707529246807098,0.0671574476240624
"32",46,71.3825,-79.9647,0.364407269270196,0.745103418827057,0.0765401676870614
"33",48,71.2978,-79.9221,0.338930277779529,0.78867369890213,0.0809907663681984
