Site,Order,Lat,Long,20_Sp_1,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_2,20_Date,20_NAd,20_eggs_Yor N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_3,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm
34,138,71.7048,-80.2042,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
35,139,71.7038,-80.1955,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
40,91,71.3882,-80.1527,PEFA,26-Jun-20,1,unk,unk,unk,unk,"Female incubating, did not flush, waypoint taken",PEFA,18-Jul-20,0,y,4,0,0,"No parents present, eggs dark in colour. Potentially failed",PEFA,11-Aug-20,0,n,4,4,4,NA
41,90,71.3875,-80.1483,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
43,39,71.2862,-80.0018,RLHA,26-Jun-20,2,y,2,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,y,3,0,0,Parent flushed,RLHA,11-Aug-20,1,n,3,3,3,NA
46,110,71.3825,-79.9647,RLHA,26-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,n,0,4,unk,Didn't flush,RLHA,11-Aug-20,1,n,4,4,4,NA
48,42,71.2978,-79.9221,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
49,41,71.2964,-79.9196,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
50,58,71.4580,-79.8961,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
51,40,71.2947,-79.9039,RLHA,26-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,y,4,0,unk,Parent flushed,RLHA,11-Aug-20,1,n,4,4,4,NA
52,106,71.4389,-79.8944,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
53,107,71.4150,-79.8918,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
54,85,71.3492,-79.8631,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
55,86,71.3436,-79.8538,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
56,37,71.2211,-79.8042,RLHA,26-Jun-20,2,y,5,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,y,4,unk,NA,NA,RLHA,11-Aug-20,1,n,4,4,4,NA
57,36,71.2207,-79.7977,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
58,38,71.2447,-79.8005,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
59,35,71.2190,-79.7919,PEFA,26-Jun-20,2,unk,unk,0,0,"Parents flushed, waypoint taken",PEFA,18-Jul-20,1,unk,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,2,n,unk,unk,3,NA
61,82,71.3562,-79.7641,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
