Transect,Station,GPS,trap,sp,sex,weight,age,missfire,Date,Time,comments
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,20-Jul-18,15:52,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,20-Jul-18,15:52,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,20-Jul-18,15:53,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,Y,20-Jul-18,15:53,"T1 MF, PB still present"
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,20-Jul-18,15:54,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,20-Jul-18,15:54,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,21-Jul-18,18:09,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,21-Jul-18,18:09,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,21-Jul-18,18:09,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,21-Jul-18,18:10,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,21-Jul-18,18:10,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,Y,21-Jul-18,18:10,"T3 MF, Replaced trap"
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,21-Jul-18,18:11,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,21-Jul-18,18:11,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,21-Jul-18,18:11,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,21-Jul-18,18:12,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,21-Jul-18,18:12,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,21-Jul-18,18:13,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,21-Jul-18,18:13,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,21-Jul-18,18:13,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,21-Jul-18,18:14,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,21-Jul-18,18:14,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,21-Jul-18,18:14,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,21-Jul-18,18:15,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,21-Jul-18,18:15,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,21-Jul-18,18:15,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,22-Jul-18,15:35,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,22-Jul-18,15:35,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,22-Jul-18,15:36,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,22-Jul-18,15:36,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,22-Jul-18,15:36,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,22-Jul-18,15:37,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,22-Jul-18,15:37,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,22-Jul-18,15:37,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,22-Jul-18,15:38,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,Y,22-Jul-18,15:38,"T1 MF, PB still present"
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,Y,22-Jul-18,15:39,"T2 MF, PB still present"
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,22-Jul-18,15:39,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,22-Jul-18,15:39,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,22-Jul-18,15:40,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,22-Jul-18,15:40,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,22-Jul-18,15:41,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,22-Jul-18,15:41,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,22-Jul-18,15:41,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,22-Jul-18,15:42,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,22-Jul-18,15:42,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,23-Jul-18,15:53,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,23-Jul-18,15:54,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,23-Jul-18,15:55,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,23-Jul-18,15:55,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,23-Jul-18,15:56,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,23-Jul-18,15:56,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,23-Jul-18,15:56,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,23-Jul-18,15:57,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,23-Jul-18,15:57,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,23-Jul-18,15:57,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,23-Jul-18,15:58,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,23-Jul-18,15:58,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,23-Jul-18,15:58,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,23-Jul-18,15:59,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,23-Jul-18,15:59,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,23-Jul-18,15:59,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,23-Jul-18,16:00,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,23-Jul-18,16:00,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,23-Jul-18,16:01,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,23-Jul-18,16:01,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,10-Aug-18,19:20,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,10-Aug-18,19:20,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,10-Aug-18,19:20,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,10-Aug-18,19:21,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,10-Aug-18,19:21,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,10-Aug-18,19:21,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,10-Aug-18,19:22,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,10-Aug-18,19:22,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,10-Aug-18,19:22,"T1 MF, PB still present"
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,10-Aug-18,19:23,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,10-Aug-18,19:23,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,10-Aug-18,19:24,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,10-Aug-18,19:24,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,10-Aug-18,19:24,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,10-Aug-18,19:25,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,10-Aug-18,19:26,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,10-Aug-18,19:26,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,10-Aug-18,19:26,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,10-Aug-18,19:27,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,10-Aug-18,19:27,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,11-Aug-18,15:53,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,11-Aug-18,15:54,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,11-Aug-18,15:55,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,11-Aug-18,15:55,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,11-Aug-18,15:56,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,11-Aug-18,15:56,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,11-Aug-18,15:56,Caught American pipet in Trap 1
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,11-Aug-18,15:57,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,11-Aug-18,15:57,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,11-Aug-18,15:57,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,11-Aug-18,15:58,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,11-Aug-18,15:58,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,11-Aug-18,15:58,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,11-Aug-18,15:59,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,11-Aug-18,15:59,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,11-Aug-18,15:59,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,11-Aug-18,16:00,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,11-Aug-18,16:00,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,11-Aug-18,16:01,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,11-Aug-18,16:01,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,12-Aug-18,15:36,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,12-Aug-18,15:36,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,12-Aug-18,15:37,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,12-Aug-18,15:37,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,12-Aug-18,15:37,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,12-Aug-18,15:38,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,12-Aug-18,15:38,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,12-Aug-18,15:39,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,12-Aug-18,15:39,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,12-Aug-18,15:39,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,12-Aug-18,15:40,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,12-Aug-18,15:40,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,12-Aug-18,15:41,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,12-Aug-18,15:41,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,12-Aug-18,15:41,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,12-Aug-18,15:42,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,12-Aug-18,15:42,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,12-Aug-18,15:43,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,12-Aug-18,15:43,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,12-Aug-18,15:43,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,13-Aug-18,14:12,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,13-Aug-18,14:13,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,13-Aug-18,14:13,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,13-Aug-18,14:13,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,13-Aug-18,14:14,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,13-Aug-18,14:14,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,13-Aug-18,14:14,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,13-Aug-18,14:15,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,13-Aug-18,14:15,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,13-Aug-18,14:15,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,13-Aug-18,14:16,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,13-Aug-18,14:16,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,13-Aug-18,14:16,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,13-Aug-18,14:17,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,13-Aug-18,14:17,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,13-Aug-18,14:18,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,13-Aug-18,14:18,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,13-Aug-18,14:19,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,13-Aug-18,14:19,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,13-Aug-18,14:19,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,14-Aug-18,14:15,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,14-Aug-18,14:15,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,14-Aug-18,14:16,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,14-Aug-18,14:16,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,14-Aug-18,14:16,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,14-Aug-18,14:17,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,14-Aug-18,14:17,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,14-Aug-18,14:18,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,14-Aug-18,14:18,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,14-Aug-18,14:19,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,14-Aug-18,14:19,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,14-Aug-18,14:19,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,14-Aug-18,14:20,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,14-Aug-18,14:20,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,14-Aug-18,14:20,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,14-Aug-18,14:21,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,14-Aug-18,14:21,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,14-Aug-18,14:21,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,14-Aug-18,14:22,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,14-Aug-18,14:22,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,15-Aug-18,12:51,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,15-Aug-18,12:52,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,Y,15-Aug-18,12:53,"T1 MF, PB still present"
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,15-Aug-18,12:53,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,15-Aug-18,13:14,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,15-Aug-18,12:54,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,15-Aug-18,12:54,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,15-Aug-18,12:55,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,15-Aug-18,12:56,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,15-Aug-18,12:57,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,15-Aug-18,12:58,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,15-Aug-18,12:58,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,15-Aug-18,13:02,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,15-Aug-18,13:03,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,15-Aug-18,13:04,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,15-Aug-18,13:04,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,15-Aug-18,13:05,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,15-Aug-18,13:05,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,15-Aug-18,13:06,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,15-Aug-18,13:06,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,17-Jun-19,9:30,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,17-Jun-19,9:30,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,17-Jun-19,9:30,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,17-Jun-19,9:31,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,17-Jun-19,9:31,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,17-Jun-19,9:31,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,17-Jun-19,9:32,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,17-Jun-19,9:32,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,17-Jun-19,9:32,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,17-Jun-19,9:33,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,17-Jun-19,9:33,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,17-Jun-19,9:34,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,17-Jun-19,9:34,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,17-Jun-19,9:35,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,17-Jun-19,9:35,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,17-Jun-19,9:35,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,17-Jun-19,9:35,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,17-Jun-19,9:36,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,Y,17-Jun-19,9:36,bycatch AMPI T2
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,17-Jun-19,9:36,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,18-Jun-19,10:03,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,18-Jun-19,10:03,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,18-Jun-19,10:03,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,18-Jun-19,10:04,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,18-Jun-19,10:04,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,18-Jun-19,10:04,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,18-Jun-19,10:05,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,18-Jun-19,10:05,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,18-Jun-19,10:06,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,18-Jun-19,10:06,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,18-Jun-19,10:06,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,18-Jun-19,10:07,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,18-Jun-19,10:07,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,18-Jun-19,10:07,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,18-Jun-19,10:08,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,18-Jun-19,10:08,No activity present
