SiteID,Lat_DD,Lon_DD,PDA,D2D,D2NN,NN,12Yng,13Yng,14Yng,15Yng,16Yng,17Yng,18Yng,19Yng,y12v1,y12v2,y12v3,y13v1,y13v2,y13v3,y14v1,y14v2,y14v3,y15v1,y15v2,y15v3,y16v1,y16v2,y16v3,y17v1,y17v2,y17v3,y18v1,y18v2,y18v3,y19v1,y19v2,y19v3,RLHA_19,PEFA_19,GYRF_19,NDNO,RLHA,PEFA,GYRF
164,71.22701,-78.87232,2,15.1,0,165,NA,0,0,NA,NA,0,0,0,0,0,NA,PEFA,PEFA,NA,PEFA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
165,71.2268,-78.872,2,15.1,0,164,NA,0,0,NA,NA,3,0,0,PEFA,PEFA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
173,71.2203,-78.8383,2,16.5,1.4,165,NA,NA,NA,NA,NA,0,0,0,RLHA,RLHA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
338,71.2181,-79.7897,2,15.7,0.1,59,3,NA,4,NA,NA,0,2,0,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,PEFA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
339,71.3612,-79.645,1,0.6,0.3,73,0,NA,NA,3,NA,0,0,0,RLHA,RLHA,NA,0,NA,NA,0,0,NA,RLHA,RLHA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
355,71.4038,-80.1698,1,2.4,0.8,379,0,NA,NA,3,NA,0,0,0,RLHA,RLHA,NA,0,0,NA,0,0,NA,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
356,71.4708,-80.2779,1,1.9,0.4,446,NA,NA,NA,NA,NA,0,0,0,PEFA,PEFA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
357,71.8392,-80.84,1,0.8,0.4,6,2,NA,NA,2,0,3,0,2,NA,CORA,NA,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,NA,RLHA,RLHA,NA,PEFA,PEFA,NA,0,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
359,71.4306,-80.0472,1,2.4,0.3,380,3,NA,2,3,NA,0,4,0,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,PEFA,PEFA,PEFA,PEFA,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE
360,71.7598,-80.4008,1,3.1,0.2,21,NA,NA,3,0,2,2,0,0,0,0,NA,NA,NA,NA,RLHA,RLHA,NA,PEFA,0,NA,RLHA,RLHA,NA,CORA,0,NA,0,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
374,71.5142,-80.3067,1,1.6,0.6,26,2,NA,NA,NA,NA,0,0,0,0,RLHA,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
375,71.4607,-80.1918,1,0.3,1.4,378,NA,0,NA,1,2,0,0,0,RLHA,0,NA,RLHA,RLHA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
376,71.50282,-80.17978,1,1.9,4.3,28,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
377,71.38007,-79.45242,1,5.1,0.2,473,NA,NA,3,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
378,71.45434,-80.22507,1,0.9,0.3,33,NA,NA,2,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
379,71.40016,-80.15132,1,2,0.8,355,NA,NA,2,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,0,NA,0,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,RLHA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
380,71.43057,-80.03996,1,2.7,0.3,359,NA,NA,1,0,3,0,0,1,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,NA,0,0,0,0,0,PEFA,0,1,0,FALSE,FALSE,TRUE,FALSE
382,71.62832,-80.28523,1,2.6,4,22,NA,NA,3,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
383,71.65401,-80.45984,1,2.8,1.4,484,NA,NA,0,4,3,0,0,0,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
384,71.72142,-80.74186,1,8.5,7.8,15,NA,NA,0,2,2,1,0,0,NA,NA,NA,NA,NA,NA,PEFA,0,NA,0,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
385,71.36123,-80.23653,1,7,2.2,444,NA,NA,2,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
386,71.71721,-80.25545,1,5.5,0.7,30,NA,NA,2,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
387,71.92651,-80.75506,1,5.8,1.2,393,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,NA,NA,PEFA,0,NA,PEFA,0,NA,PEFA,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
388,71.90827,-80.82447,1,2.7,2.6,391,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,PEFA,NA,NA,0,NA,NA,0,NA,NA,PEFA,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
389,71.35528,-79.30482,1,1.4,3,107,NA,NA,3,2,0,0,0,0,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,RLHA,0,NA,0,0,NA,0,0,0,RLHA,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
390,71.81314,-80.49973,1,4.1,0.1,17,NA,NA,3,NA,3,0,0,2,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,NA,0,0,NA,0,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
391,71.93022,-80.84863,1,4.5,2.6,388,NA,NA,NA,NA,1,1,0,2,NA,NA,NA,NA,NA,NA,RLHA,NA,NA,PEFA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
392,71.97083,-80.82,1,9.2,2.4,402,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
393,71.93387,-80.73041,1,7,1.2,387,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
400,71.80651,-80.70422,1,0.2,0.2,450,NA,NA,3,NA,NA,3,0,0,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
401,71.87508,-80.86188,1,0.6,2.7,3,NA,NA,3,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
442,71.34458,-79.76151,1,3.7,1.3,61,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,0,NA,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
443,71.35378,-79.853,1,3.8,0.6,54,NA,NA,NA,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,GLGU,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
444,71.38098,-80.22776,1,5.5,1.2,32,NA,NA,NA,0,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,0,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
445,71.41703,-80.34054,1,6.3,4.6,32,NA,NA,NA,4,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
446,71.46718,-80.28133,1,2.1,0.4,356,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
447,71.36883,-80.13145,1,4,2.2,41,NA,NA,NA,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,NA,0,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
448,71.51485,-80.3461,1,2.9,0.5,483,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,NA,0,0,NA,PEFA,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
449,71.59756,-80.38423,1,1.3,2.4,22,NA,NA,NA,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
450,71.80688,-80.70904,1,0.3,0.2,400,NA,NA,NA,4,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
451,71.8227,-80.87508,1,2.9,2.2,6,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
452,71.85241,-81.02869,1,4.4,3.3,2,NA,NA,NA,4,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,0,RLHA,RLHA,0,2,0,0,FALSE,TRUE,FALSE,FALSE
453,71.27243,-79.09067,1,5.9,0.3,129,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
454,71.68012,-80.22824,1,5.3,2.9,34,NA,NA,NA,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
455,71.78325,-80.25464,1,8.9,5.7,21,NA,NA,NA,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,NA,NA,NA,0,0,NA,RLHA,0,0,RLHA,RLHA,RLHA,3,0,0,FALSE,TRUE,FALSE,FALSE
460,71.43338,-80.02223,1,3.3,0.7,380,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
461,71.43996,-79.92803,1,5.7,1.2,52,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
462,71.44889,-79.8944,1,6.1,1,50,NA,NA,NA,4,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
463,71.41253,-79.88532,1,2.3,0.3,464,NA,NA,NA,4,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,RLHA,NA,0,0,NA,RLHA,RLHA,0,RLHA,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
464,71.40972,-79.88554,1,2,0.3,463,NA,NA,NA,4,3,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,PEFA,NA,0,0,NA,0,0,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
465,71.44782,-79.79672,1,5.4,1.4,477,NA,NA,NA,3,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,0,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
466,71.46692,-79.81014,1,7.5,0.8,477,NA,NA,NA,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
467,71.46336,-79.71305,1,8,0.8,65,NA,NA,NA,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
468,71.3662,-79.4955,1,3,2.2,377,NA,NA,NA,3,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
469,71.44595,-79.5481,1,9,0.8,84,NA,NA,NA,2,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
470,71.43958,-79.43633,2,10.2,0.9,471,NA,NA,NA,2,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,0,PEFA,0,0,0,PEFA,0,1,0,FALSE,FALSE,TRUE,FALSE
472,71.3823,-79.45276,1,5.3,0.1,473,NA,NA,NA,1,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
473,71.38197,-79.4493,1,5.3,0.1,472,NA,NA,NA,2,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,RLHA,0,0,RLHA,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
474,71.43324,-79.25492,1,8.8,5.6,471,NA,NA,NA,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
475,71.73434,-80.313,1,4.6,0.6,25,NA,NA,NA,NA,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PEFA,NA,0,0,NA,0,0,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
476,71.30042,-79.1152,1,3.3,2.4,122,NA,NA,NA,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,0,NA,PEFA,PEFA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
477,71.45999,-79.8083,1,6.8,0.8,466,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
478,71.30998,-79.22727,1,0,1.1,114,NA,NA,NA,3,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,0,NA,PEFA,PEFA,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
480,71.45986,-80.09334,1,3.3,3.5,375,NA,NA,NA,NA,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
481,71.73833,-80.33509,1,4.2,0.3,25,NA,NA,NA,NA,NA,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
482,71.84302,-80.86133,1,1,0.3,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CORA,CORA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
483,71.51633,-80.33231,1,2.4,0.5,448,NA,NA,NA,NA,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
484,71.65337,-80.42009,1,1.4,1.4,383,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,RLHA,RLHA,RLHA,RLHA,RLHA,RLHA,3,0,0,FALSE,TRUE,FALSE,FALSE
485,71.34127,-79.43357,1,0.8,0.5,88,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,0,NA,PEFA,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
486,71.82254,-81.17467,2,10.5,6.1,452,NA,NA,NA,NA,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
487,71.24663,-78.85732,1,13.3,1.1,160,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
488,71.35832,-79.77888,1,2.6,0.6,61,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RLHA,RLHA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
32,71.391,-80.2381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,11,43,1
438,71.7809,-80.6121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,71.7139,-80.6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,71.386,-80.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,71.8052,-81.1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,71.4551,-79.6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,71.3259,-79.5365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLHA C 2020,71.367067,-79.366506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
