SiteID,Lat_DD,Lon_DD,PDA,D2D,D2NN,NN,12Yng,13Yng,14Yng,15Yng,16Yng,17Yng,18Yng,19Yng,y12v1,y12v2,y12v3,y13v1,y13v2,y13v3,y14v1,y14v2,y14v3,y15v1,y15v2,y15v3,y16v1,y16v2,y16v3,y17v1,y17v2,y17v3,y18v1,y18v2,y18v3,y19v1,y19v2,y19v3,RLHA_19,PEFA_19,GYRF_19,NDNO,RLHA,PEFA,GYRF
27,71.7226,-80.2873,1,4.7,1.3,386,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,GYRF,0,NA,GYRF,0,NA,0,0,NA,GYRF,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
28,71.4765,-80.2676,1,1.3,0.7,356,1,0,2,3,4,1,0,0,RLHA,RLHA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,PEFA,NA,0,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
30,71.7112,-80.2472,1,5.4,0.7,386,NA,NA,NA,NA,NA,0,0,0,RLHA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
33,71.4522,-80.2294,1,1.1,0.3,378,1,0,2,3,4,3,0,1,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,0,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
34,71.7048,-80.2042,1,6.6,0.3,35,NA,NA,1,4,2,0,0,0,0,NA,NA,NA,NA,NA,RLHA,RLHA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
35,71.7038,-80.1955,1,6.8,0.3,34,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,PEFA,0,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
40,71.3882,-80.1527,1,2.8,0.2,41,0,0,2,0,3,0,0,0,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,NA,PEFA,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
41,71.3875,-80.1483,1,2.7,0.2,40,0,NA,NA,4,NA,0,0,0,0,0,NA,0,0,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
43,71.2862,-80.0018,1,10.3,3.1,48,3,NA,NA,NA,NA,0,0,0,PEFA,PEFA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
46,71.3825,-79.9647,1,0.1,4.1,464,0,NA,NA,0,4,0,0,0,RLHA,RLHA,NA,PEFA,NA,NA,0,NA,NA,RLHA,0,NA,RLHA,RLHA,NA,0,0,NA,PEFA,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
