SiteID,PDA,min_dist Disturb,NN,D2NN,Cluster ID,GYRF TerritoryID,RLHA TerritoryID,PEFA TerritoryID,Lat_DD,Lon_DD,X_17N,Y_17N,PEFA site,RLHA Site,GYRF Site,#_Spp,06_Sp,06_Date,06_NAd,06_eggs_Y_,06_NEgg,06_hatch,06_NYng,06_Comm,07_Sp,07_Date,07_NAd,07_eggs_Y_,07_NEgg,07_hatch,07_NYng,07_Comm,08_Sp,08_Date,08_NAd,08_eggs_Y_,08_NEgg,08_hatch,08_NYng,08_Comm,09_Sp,09_Date,09_NAd,09_eggs_Y_,09_NEgg,09_hatch,09_NYng,09_Comm,10_Sp,10_Date,10_NAd,10_eggs_Y_,10_NEgg,10_hatch,10_NYng,10_Comm,11_Sp,11_Date,11_NAd,11_eggs_Y_,11_NEgg,11_hatch,11_NYng,11_Comm,12_Sp,12_Date,12_NAd,12_eggs_Y_,12_NEggLai,12_hatch,12_NYng,12_Comm,13_Sp,13_Date,13_NAd,13_eggs Y/N,13_NEggLaid,13_hatch,13_NYng,13_Comm,14_Sp,14_Date,14_NAd,14_eggs_Y_,14_NEggLai,14_hatch,14_NYng,14_Comm,15_Sp,15_Date,15_NAd,15_eggs_Y_,15_NEggLai,15_hatch,15_Nyng,15_Comm,16_Sp,16_Date,16_NAd,16_eggs_Y_,16_NEggLai,16_hatch,16_Nyng,16_Comm,17_Sp,17_Date,17_NAd,17_eggs_Y_,17_NEggLai,17_hatch,17_Nyng,17_Comm,18_Sp,18_Date,18_NAd,18_eggs_Y_,18_NEggLai,18_hatch,18_Nyng,18_Comm,18_Sp,18_Date,18_NAd,18_eggs_Y_,18_NEggLai,18_hatch,18_Nyng,18_Comm,18_Sp,18_Date,18_NAd,18_eggs_Y_,18_NEggLai,18_hatch,18_Nyng,18_Comm,2018_SpCom,F_PEFA,F_PEFA_12to18,F_RLHA 12-18,F_RLHA_12to18,F_Site Unk,2011_Field,Status,S1,S2,S3
73,3,0.6,75,94,15,,73,,71.360834,-79.637331,548604.9834,7918188.988,FALSE,TRUE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,25/06/2008,1,#,#,#,#,NEST; little column by waterfall; 10/15/E/100m,not visited,#,#,#,#,#,#,#,not visited,not visited,not visited,not visited,not visited,not visited,not visited,not visited,not detected,0,#,#,#,#,0,,not detected,#,0,#,#,#,#,"really close to 75, should be removed or info should be merged",not detected,6-15-2013,0,N,0,#,#,not detected,not detected,2014-06-08,0,N,#,#,#,No bird seen. Site covered with snow.  Aug 6 no birds detected,not detected,2015-06-20,0,#,#,#,#,,not detected,23-06-2016,0,N,#,#,#,,not detected,16-06-2017,0,N,#,#,0,June 18 2017: no bird seen. | June 20 2017: no bird seen. | Aug 7 - no birds detected,not detected,17-06-2018,0,N,#,#,0,"old stick nest, no birds, 70% snow cover",not detected,14-07-2018,0,N,#,#,0,"no birds, old stick nest",not detected,17-08-2018,0,N,#,#,0,"no birds, lots of rock shear",not detected,0,0,1,0,2,4-42,A,0,0,0
74,1,9.194,385,4635,,,,,71.321767,-80.195041,528771.8599,7913474.237,TRUE,TRUE,FALSE,2,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,2011-08-01,2,Y,4,4,4,active,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,not detected,2015-06-20,0,#,#,#,#,,PEFA,23-06-2016,2,Y,3,2,2,"This site was discovered in 2016 and attributed a number of a deleted site without historic. June 24: new pefa site, 3 eggs, also rlha old nest, and a lot of orange lichen indicting annual usage. | August 7: 2 chicks, one banded. Pair at site.",PEFA,18-06-2017,2,Y,2,#,0,"June 18 2017: PEFA pair, female was sitting on site. Lot of snow, last year ledge is snow covered, no egg.  Aug 6 - 2 Eggs below scrape, rocks in scrape, very tough to use in spring. 1 adult female detected",PEFA,17-06-2018,1,N,0,0,0,"nest may be hidden, couldn’t find it",PEFA,14-07-2018,1,N,0,0,0,"fem incubating at the bottom, couldn’t see if there was any eggs",not detected,17-08-2018,0,N,#,#,0,"failed nest, searched bottom to top",PEFA,3,3,1,0,8,B,A,1,1,0
75,1,0.5,73,94,15,,,75,71.3616,-79.6362,548643.392,7918275.314,TRUE,FALSE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,PEFA,#,1,#,#,#,#,NEST; new nest;,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-01,2,Y,3,3,3,active,PEFA,2012-08-19,2,Y,4,2,0,"2 chicks female legs on ledge ; adult were still aggressive ; failed recently|June 14: PEFA territorial pair. AG=3. Found a freshly dead headless golden plover on our way to the site. No nest found, maybe other side of cliff? June 22: PEFA pair. AG=3. Fo",PEFA,8-10-2013,1,Y,3,3,3,"June 15: PEFA territorial pair, were perched on cliff. Left after 5 minutes. No nest fou#. June 23: PEFA pair. 3 eggs. Male incubating. June 30 (EDI): Active PEFA nest - 3 eggs. July 16: Set up RECONYX camera at site. PEFA pair, kacking. 3 eggs, warm. S",PEFA,2014-08-16,2,Y,2,#,2,"June 8: No bird seen. Nothing on old ledge. Stayed 10 minutes.  July 30: Female was perched close to ledge. Male arrived 5 minutes later. 3 chicks, really young. No color's eyes still shut. August 6: Female on nest. 3 chicks with full crops. Female has s",PEFA,2015-06-17,2,Y,3,#,2,"June 17 : female was incubating. | June 20 : pefa pair, tried to trap female, didn't work but she's not banded. 3 eggs. One is really much paler. | July 31 : 2 chicks less than 10 days old. | August 6 : 2 chicks banded.",PEFA,23-06-2016,2,N,0,0,0,"June 23: no bird seen did twice, missing something?. | June 28: pefa pair at site, territorial. One bird was on usual nesting ledge. No eggs?. | August 9 : no bird seen. didn't breed.",PEFA,18-06-2017,2,Y,3,2,2,"June 16 2017: 20m N of wpt, female on nest incubating. Male was at site. | June 18 2017: PEFA pair at site, 3 eggs. Female caught on fake eggs. Aug 7 - 2 adults, 2 nestlings ~ 20 days.",not detected,17-06-2018,0,N,#,#,0,no birds,not detected,14-07-2018,0,N,#,#,0,no birds,not detected,17-08-2018,0,N,#,#,0,"no birds, lots of rock shear",not detected,8,6,0,0,1,13-Jul,P,0,0,0
76,0,41.0,437,14159,,,,,70.9553,-79.6616,548739.3537,7872949.532,TRUE,FALSE,FALSE,1,PEFA,18-Jun-06,2,#,#,#,#,Near Nina Lake - Pair flu;,not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-02,2,Y,4,4,4,active,PEFA,2012-07-02,2,Y,#,#,#,female was incubating|July 2: PEFA pair. Female sitting on nest. Can't count the eggs. White wash. Should try trapping there.,PEFA,8-10-2013,2,Y,#,#,2,"June 25: PEFA pair, female on nest. August 8: PEFA took off from cliff. 2 chicks. August 10: 2 adults on site. 2 chicks, 20-25 days old. Empty crops.",not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not vistited,4,2,0,0,0,1-130,A,#,#,#
78,0,14.4,79,103,,,,,71.5048,-79.5782,550336.0801,7934290.853,TRUE,FALSE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,PEFA,2011-08-01,2,Y,4,4,4,active,PEFA,2012-06-21,2,Y,#,#,#,female was incubating|June 21: PEFA female sitting on nest. AG=3. Too far to see the eggs. Nest on big grassy ledge mid-cliff. Access with ropes if helicopter can land on top of cliff.,not detected,6-28-2013,0,N,0,#,#,not detected,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not vistited,2,1,0,0,5,A,A,#,#,#
79,0,14.4,78,103,,,,,71.5041,-79.5763,550405.1746,7934214.382,FALSE,TRUE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,30/05/2008,2,#,#,#,#,NEST;,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,RLHA,2011-08-01,2,Y,3,3,3,active,not detected,2012-06-21,0,#,#,#,#,no bird seen ;  less than 100 m from 78,not detected,6-28-2013,0,N,0,#,#,not detected,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not vistited,0,0,2,0,2,Apr-43,A,#,#,#
80,1,8.910,469,801,16,,469,80,71.4476,-79.5701,550773.7605,7927919.378,TRUE,TRUE,FALSE,2,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,not detected,2011-08-01,0,N,0,#,#,Two vacant nests ~ 25 m apart,RLHA,2012-06-20,2,#,#,#,#,couldn't fi# the nest ; nice cliff|June 20: RLHA territorial pair. AG=3. Didn't fi# nest. Nice cliff.,PEFA,8-7-2013,0,Y,#,#,0,"June 27: PEFA female on nest. August 7: No bird seen. Empty nest. No signs of chicks presence, failed.",RLHA,2014-06-08,2,Y,2,#,#,"I#ividual took off. Stick nest with 2 eggs. Precise location : (71.448537, -79.57295; 7928021.46816947, 550670.110049559).",PEFA,2015-06-22,2,Y,4,#,3,June 22 : 80m away from wpt. | August 2 : 3 pefa chicks.,PEFA,23-06-2016,2,Y,3,3,3,"June 23 : pefa territorial, couldn't located the nest. | August 9: nest is about 320m of the wpt, on the north facing side of the canyon. 3 chicks ready to be banded. Access to nest from down cliff might be possible.",PEFA,16-06-2017,1,Y,#,#,1,"June 16 2016: PEFA individual on nest. 1Aug 7 -  nestling eating prey item, 2 adults.",PEFA,18-06-2018,2,Y,3,0,0,"Pair, flushed, nest 40m E of waypoint",PEFA,13-07-2018,2,Y,3,0,0,PEFA pair flushed off left grassy ledge,PEFA,18-08-2018,2,Y,0,1,1,on WP left grass,PEFA,5,5,2,2,5,3-191,V,1,1,1
81,1,3.8,468,4589,,,,,71.399,-79.5737,550773.8531,7922497.102,TRUE,FALSE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,PEFA,2011-08-01,2,Y,4,4,4,active,PEFA,2012-06-20,1,#,#,#,#,flew over ; one pefa seen perched on a rock,PEFA,8-7-2013,2,Y,#,#,0,"June 27: PEFA pair flying arou#. No nest fou#. August 7: 2 PEFA seen. Empty ledge, failed.",PEFA,2014-08-16,2,#,#,#,0,June 8: Pair perching. August 16: No bird seen. Ledge looks used by chicks.,PEFA,2015-06-22,2,Y,4,4,4,"June 17: no birds detected. August 2 : 4 chicks, 3 banded.",PEFA,23-06-2016,2,Y,1,1,0,"June 23: pefa  incubating. | august 7: pefa individual at site. One scrape looked used recently, got chicks but failed.",not detected,16-06-2017,0,N,#,#,0,"June 16 2016: no bird seen, could be under the snow. Aug 7 - no birds detected.",not detected,18-06-2018,0,N,#,#,0,"no birds, right side of gully (W)",not detected,13-07-2018,0,N,#,#,0,no birds,not detected,17-08-2018,0,N,#,#,0,"no birds, s facing",not detected,6,5,0,0,5,3-201,A,0,0,0
82,1,0.8,83,831,17,,,82,71.3327,-79.5619,551369.7105,7915114.192,TRUE,FALSE,FALSE,1,PEFA,6-Jun-06,1,#,#,#,#,potential nest site - whi;,not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-01,2,Y,4,4,4,active,PEFA,2012-08-17,2,Y,4,3,0,"3 dead chicks collected ; death was recent and adults were aggressive ; failed|June 22: PEFA territorial pair. Female sitting on nest. 4 eggs. Nest close to top. Acces with ropes. August 17: Accessed nest without ropes. 3 dead chicks (2 females, 1 male),",not detected,6-21-2013,0,N,0,#,#,still lot of snow,PEFA,2014-08-15,2,#,#,#,0,June 12: Pair yelling. August 15: Not sure we saw a used ledge.,PEFA,2015-06-17,2,Y,#,#,4,"June 17 : female was incubating, could count egg number. | July 31 : female was incubating, male arrived later. 4 chicks, 2 banded.",PEFA,23-06-2016,2,Y,4,4,4,"June 23: pefa female incubating, at least 2 eggs, same ledge. | June 25 : male trapped on eggs. 4 eggs. | August 9: 4 chicks with primaries showing. | August 10: 4 chicks banded, pair was at site and the male was tagged.",PEFA,16-06-2017,2,Y,3,1,1,"June 16 2017: pefa pair at site, same usual ledge, female was incubating, didn't flushed. | June 18 2017: PEFA pair, female incubating, male at site. Both unbanded. Tried trapping on eggs for 1 hour, unsuccesful. Aug 7, 2 adults, 1 nestling, 25 days old.",not detected,17-06-2018,0,N,#,#,0,"no birds, very wet cliff",not detected,14-07-2018,0,N,#,#,0,"lots of rock shear, no birds",not detected,17-08-2018,0,N,#,#,0,no birds,not detected,7,5,0,0,0,1-163,A,0,0,0
83,1,0.541,82,831,17,,83,82,71.3286,-79.5424,552077.1631,7914673.698,TRUE,TRUE,FALSE,2,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,28/06/2008,2,Y,5,#,#,NEST; 5 eggs; 75/80/NE/100m (10/13/W/100m),not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,RLHA,2011-08-01,2,Y,2,2,2,1 old stick nest,RLHA,2012-08-26,2,Y,4,1,1,"1 ba#ed chick fledged at our last visit|June 22: RLHA i#ividual sitting on nest. 4 eggs. Nest on a little corner cliff. Might be accessible but no boulder. August 17: RLHA pair seen. 1 chick ba#ed, probably male. Had its first flight. We brougt it bac",PEFA,7-24-2013,0,Y,4,0,0,"June 21: PEFA territorial pair. 4 eggs. Nest easy to access. Coordinates: 71.32578;79.53703. June 30 (EDI): Active PEFA at the new location. 4 eggs. July 24: No bird seen. 4 eggs, cold. FAILED.",RLHA,2014-08-11,2,Y,#,#,3,June 12: I#ividual incubating. August 11: 3 chicks ba#ed. 1 adult arou#.,RLHA,2015-06-17,2,Y,4,#,5,June 17 : 4 eggs. | July 31 : 5 chicks banded.,not detected,23-06-2016,0,N,#,#,#,"June 23: no bird seen ; used nest right on wpt and about 300m of it. August 10, no birds seen.",not detected,16-06-2017,0,N,#,#,0,"June 16 2017: no bird seen. Old used stick nest right on wpt, located used stick nest and used pefa nest used in more recent years (71.32584 ; 79.53669). Aug 6 no birds detected",not detected,17-06-2018,0,N,#,#,0,"No birds, small hole with old scrape",PEFA,14-07-2018,1,N,0,0,0,fem on the nest couldn’t see if there was eggs,not detected,17-08-2018,0,N,#,#,0,Failed nest ,PEFA,2,2,5,3,2,Apr-44,A,0,1,0
84,1,9.3,85,400,16,,85,84,71.4457,-79.5258,552351.6881,7927745.312,TRUE,TRUE,FALSE,2,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,28/05/2008,2,Y,4,#,#,NEST - flushed; 4 white eggs;,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-01,2,#,#,#,#,"territorial pair, could not locate nest but there was probably nest. 1 old stick nest.",not detected,2012-06-20,0,N,0,#,#,no bird seen,not detected,6-27-2013,0,N,0,#,#,2 empty stick nests,not detected,2014-06-08,0,N,#,#,#,No bird seen.,not detected,2015-06-22,0,#,#,#,#,no bird seen,RLHA,23-06-2016,2,Y,3,3,3,"June 23: individual was on nest. | August 9: 3 chicks ready to be banded. Nest needs to be rappel down, boulders available on top for anchor.",not detected,16-06-2017,0,N,#,#,0,"June 16 2017: 2 old rlha nests, no bird seen. Aug 7 - no birds detected.",not detected,18-06-2018,0,N,#,#,0,"No birds, old stick nest",not detected,13-07-2018,0,N,#,#,0,no birds,not detected,17-08-2018,0,N,#,#,0,"no birds, old stick nest",not detected,1,0,2,1,2,Apr-45,P,0,0,0
85,1,9.281,84,400,16,,85,,71.4441,-79.5157,552714.6774,7927575.683,TRUE,TRUE,FALSE,2,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,#,#,#,#,#,#,flushed off nest; no one home;,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,RLHA,2011-08-01,2,Y,4,4,4,2 old stick nests,RLHA,2012-06-20,1,#,#,#,#,"1 i#ividual showing territorial behaviour ; no nest fou#, were downcliff ; starting snowing|June 20: RLHA territorial i#ividual, weird sou#. AG=3. Didn't fi# nest. Were down cliff a# started snowing.",not detected,6-27-2013,0,N,0,#,#,not detected,not detected,2014-06-08,0,N,#,#,#,No bird seen. Scanned ridge N of site too.,RLHA,2015-06-22,2,Y,4,4,4,"June 22 : 2 stick nest, rlha individual incubating in one, 4 eggs. | August 2 : 4 chicks, could see contour feathers appearing.",not detected,23-06-2016,0,N,#,#,#,June 23: 3 empty stick nests.,not detected,16-06-2017,0,N,#,#,0,"June 16 2017: 4 old rlha nests, no bird seen. Aug 7 - no birds detected.",not detected,18-06-2018,0,N,#,#,0,"no birds, old stick nest",PEFA,13-07-2018,1,N,0,0,0,"PEFA around , couldn’t find nest",not detected,17-08-2018,0,N,#,#,0,"no birds, old stick nest",PEFA,1,1,4,2,1,Apr-46,A,0,1,0
86,1,1.175,485,574,18,,86,,71.3444,-79.4464,555461.1365,7916520.807,TRUE,TRUE,FALSE,2,not detected,18-Jun-06,0,#,#,#,#,Nest; Near Nina Lake - very old;,not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,RLHA,2011-08-01,2,Y,4,4,4,3 old stick nests,RLHA,2012-08-17,2,Y,2,2,2,2 chicks were flying easily|June 14: RLHA territorial pair. AG=3. Nest fou# but can't see in it. Maybe accessible with ropes. August 17: 2 chicks flying easily. 1 adult seen.,not detected,7-3-2013,0,N,0,#,#,not detected,RLHA,2014-08-11,2,Y,#,#,3,June 8: I#ividual on exposed stick nest. Alarm call. August 11: 2 chicks ba#ed. Checked ba# on previously ba#ed chick. 2 adults on sites.,RLHA,2015-06-19,2,Y,3,3,0,"June 19 : at least 2 eggs, in laying period. | August 3 : nest reached, 3 chicks. | August 6 : failed, nothing left on ledge.",not detected,23-06-2016,0,N,#,#,#,"June 23: no bird seen, 3 strick nest, one looked new.",RLHA,16-06-2017,1,Y,3,2,2,"June 16 2017: rlha individal was incubating ; nest is on top end of a rocky outcrop, not accessible, 2 old stick nests, 3 eggs. Aug 6 - 2 very small nestlings, 2 adults.",not detected,18-06-2018,0,N,#,#,0,"no birds, old stick nest, right side of gully (NW)",PEFA,13-07-2018,1,N,0,0,0,"old stick nest, PEFA male flushed, no eggs or scrape",not detected,18-08-2018,0,N,#,#,0,no birds,PEFA,1,1,5,4,0,Apr-47,A,0,1,0
87,0,19.6,79,6189,,,,,71.5328,-79.4261,555638.497,7937546.425,TRUE,TRUE,FALSE,2,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,#,#,#,#,#,2,"NEST; 2y (20d.o.) cliff=15m, nest=10, SW faci;",not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-01,2,Y,1,1,1,"Nest, but female sitting on them, can't count. At least 1",not detected,2012-06-22,0,N,0,#,#,2 empty stick nests,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not vistited,1,0,1,0,1,Apr-48,A,#,#,#
88,1,0.4,485,488,18,,86,88,71.3374,-79.44,555709.7009,7915746.182,TRUE,TRUE,FALSE,2,PEFA,13-Jun-06,2,#,#,#,#,"Adults flushed off cliff,;",not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-06-22,2,#,#,#,0,"June 22: Pair PEFA, aggressive. Could not access the nest. Vacant nest found 01/08/2011 ~ 30m away",PEFA,2012-08-17,3,N,0,0,0,"legde found right on wpt ; passerine feathers and white wash on walls could indicate chicks presence ; low aggressivity from female|June 9: 3 PEFA seen, 1 was chased (prob. male). Female perched twice, male once. AG=1. Female not banded. White wash. June| Aug 17 female pefa kakking.",PEFA,8-7-2013,0,#,#,#,#,June 14: No bird at site but PEFA territorial pair fou# 500 meters away (71.34180 ; 79.43472). Probably alternate site. Didn't fi# nest. July 3 (EDI): Supposed to be active PEFA but no one seemed to be home at either site during the visit. August 7: No,PEFA,2014-08-16,2,Y,2,#,2,June 8: Pair yelling close to 2012 cliff. August 16: 2 chicks. Almost all feathered.,RLHA,2015-06-19,2,Y,5,#,4,"July 19: 4 raven chicks out of the nest at site 88 ; RLHA territorial pair found 500 meters away from site (71.34180 ; 79.43472)  | June 22 : rlha nest : 5 eggs. | August 3 : at least 4 rlha chicks. Could see contour feathers appearing, but rappelling there is too dangerous.",CORA,23-06-2016,1,Y,0,0,0,"June 23: raven on nest, protective, but no chicks or eggs? August 9: did all cliff along the river. No bird seen. New stick nest has been built up stream from wpt, birds used rope as building material.",CORA,16-06-2017,0,Y,3,3,3,"June 16 2017: CORA nest is sliglty downstream than actual site 88, on a distinct lower cliff. Cliff 88 is unoccupied. 3 chicks in the raven nest, on nest, fully feathered and ready to fledge. No PEFA seen. | June 18 2017: cora still there, nothing at 88 itself. PEFA pair upstream. Unbanded.stayed around the aircraft all time, landing on cliff frequently. Couldn't find the nest or haven't layed yet.  Aug 7 CORA nest present - no birds detected.",CORA,18-06-2018,2,N,0,0,0,Nest low left of river (NE),not detected,13-07-2018,0,N,#,#,0,"no birds, old raven nest",not detected,17-08-2018,0,N,#,#,0,"no birds, old stick nest",CORA,5,3,1,1,0,PEFA022 or 4-49,P,1,0,0
91,1,0.1,100,1333,,,,,71.3333,-79.3849,557689.2005,7915340.694,TRUE,FALSE,FALSE,1,PEFA,13-Jun-06,2,#,#,#,#,Nest; Nest above camp (seen by; 71 19 59.4,not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-04,2,Y,4,4,4,June 22: Pair PEFA with 4 eggs. August 3: 4 chicks,PEFA,2012-08-17,2,N,0,0,0,|June 9: Still lot of snow. No bird seen. June 16: 3 RLHA seen. 2 perched on cliff. No nest. Late arrival? June 21 saw rlha pair on june 16 replaced by a pefa pair on june 21 ; no chicks evidence whoever was there ; rlha pair had begun a nest construction.  Aug no birds seen.,not detected,7-1-2013,0,N,0,#,#,not detected,not detected,2014-06-08,0,N,#,#,#,No bird seen. Checked behi# cliff too.,not detected,2015-06-19,0,#,#,#,#,June 19: no birds seen,PEFA,28-06-2016,2,Y,3,1,0,"June 28: female was incubating, nest is accessible. | August 6: chicks signs on the scrape, but nothing left At least one chicks lived but died. Adults are still territorial.",not detected,19-06-2017,0,N,#,#,0,"June 19 2017: no bird seen, have climb to access the ledge, not occupied. Aug 7 - no birds detected.",not detected,18-06-2018,0,N,#,#,0,no birds,not detected,13-07-2018,0,N,#,#,0,no birds lots of potential,not detected,18-08-2018,0,N,#,#,0,"no birds, by inukshuk",not detected,4,2,0,0,0,PEFA021,A,0,0,0
